,age,job,marital,education,default,housing,loan,comm_type,month,day_of_week,last_contact_duration,campaign_contact_count,poutcome,cons.price.idx,cons.conf.idx,nr.employed,cluster
19,39,management,single,basic.9y,unknown,no,no,telephone,may,mon,195,1,nonexistent,93.994,-36.4,5191.0,2
20,30,unemployed,married,high.school,no,no,no,telephone,may,mon,38,1,nonexistent,93.994,-36.4,5191.0,2
21,55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262,1,nonexistent,93.994,-36.4,5191.0,2
22,55,retired,single,high.school,no,yes,no,telephone,may,mon,342,1,nonexistent,93.994,-36.4,5191.0,1
23,41,technician,single,high.school,no,yes,no,telephone,may,mon,181,1,nonexistent,93.994,-36.4,5191.0,2
24,37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,1,nonexistent,93.994,-36.4,5191.0,2
25,35,technician,married,university.degree,no,no,yes,telephone,may,mon,99,1,nonexistent,93.994,-36.4,5191.0,2
26,59,technician,married,unknown,no,yes,no,telephone,may,mon,93,1,nonexistent,93.994,-36.4,5191.0,2
27,39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,1,nonexistent,93.994,-36.4,5191.0,2
28,54,technician,single,university.degree,unknown,no,no,telephone,may,mon,255,2,nonexistent,93.994,-36.4,5191.0,2
29,55,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362,1,nonexistent,93.994,-36.4,5191.0,1
30,46,admin.,married,unknown,no,no,no,telephone,may,mon,348,1,nonexistent,93.994,-36.4,5191.0,1
31,59,technician,married,unknown,no,yes,no,telephone,may,mon,386,1,nonexistent,93.994,-36.4,5191.0,1
32,49,blue-collar,married,unknown,no,no,no,telephone,may,mon,73,1,nonexistent,93.994,-36.4,5191.0,2
33,54,management,married,basic.4y,unknown,yes,no,telephone,may,mon,230,1,nonexistent,93.994,-36.4,5191.0,2
34,54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,1,nonexistent,93.994,-36.4,5191.0,2
35,55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,nonexistent,93.994,-36.4,5191.0,1
36,34,services,married,high.school,no,no,no,telephone,may,mon,365,1,nonexistent,93.994,-36.4,5191.0,1
37,52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,1,nonexistent,93.994,-36.4,5191.0,0
38,41,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,1,nonexistent,93.994,-36.4,5191.0,1
39,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,137,1,nonexistent,93.994,-36.4,5191.0,2
40,58,management,unknown,university.degree,no,yes,no,telephone,may,mon,366,1,nonexistent,93.994,-36.4,5191.0,1
41,32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,1,nonexistent,93.994,-36.4,5191.0,1
42,38,admin.,single,professional.course,no,no,no,telephone,may,mon,160,1,nonexistent,93.994,-36.4,5191.0,2
43,57,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,1,nonexistent,93.994,-36.4,5191.0,2
44,44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188,1,nonexistent,93.994,-36.4,5191.0,2
45,42,technician,single,professional.course,unknown,no,no,telephone,may,mon,22,1,nonexistent,93.994,-36.4,5191.0,2
46,57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,1,nonexistent,93.994,-36.4,5191.0,1
47,40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178,1,nonexistent,93.994,-36.4,5191.0,2
48,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,1,nonexistent,93.994,-36.4,5191.0,1
49,45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225,2,nonexistent,93.994,-36.4,5191.0,2
50,54,admin.,married,high.school,no,no,no,telephone,may,mon,160,1,nonexistent,93.994,-36.4,5191.0,2
51,39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266,1,nonexistent,93.994,-36.4,5191.0,2
52,60,admin.,married,high.school,no,no,no,telephone,may,mon,253,1,nonexistent,93.994,-36.4,5191.0,2
53,53,admin.,single,professional.course,no,no,no,telephone,may,mon,179,1,nonexistent,93.994,-36.4,5191.0,2
54,55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,269,2,nonexistent,93.994,-36.4,5191.0,2
55,55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,135,1,nonexistent,93.994,-36.4,5191.0,2
56,50,management,married,university.degree,unknown,no,yes,telephone,may,mon,161,1,nonexistent,93.994,-36.4,5191.0,2
57,45,services,married,high.school,unknown,yes,no,telephone,may,mon,787,1,nonexistent,93.994,-36.4,5191.0,0
58,55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145,1,nonexistent,93.994,-36.4,5191.0,2
59,25,technician,single,university.degree,no,yes,no,telephone,may,mon,174,1,nonexistent,93.994,-36.4,5191.0,2
60,47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,449,1,nonexistent,93.994,-36.4,5191.0,1
61,51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812,1,nonexistent,93.994,-36.4,5191.0,0
62,42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,164,1,nonexistent,93.994,-36.4,5191.0,2
63,42,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,366,1,nonexistent,93.994,-36.4,5191.0,1
64,48,admin.,married,high.school,no,no,no,telephone,may,mon,357,1,nonexistent,93.994,-36.4,5191.0,1
65,37,admin.,married,university.degree,no,no,no,telephone,may,mon,232,1,nonexistent,93.994,-36.4,5191.0,2
66,44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91,1,nonexistent,93.994,-36.4,5191.0,2
67,33,admin.,married,unknown,no,yes,no,telephone,may,mon,273,1,nonexistent,93.994,-36.4,5191.0,2
68,56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158,2,nonexistent,93.994,-36.4,5191.0,2
69,44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,177,1,nonexistent,93.994,-36.4,5191.0,2
70,41,management,married,basic.6y,no,no,no,telephone,may,mon,200,1,nonexistent,93.994,-36.4,5191.0,2
71,44,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,1,nonexistent,93.994,-36.4,5191.0,2
72,47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176,1,nonexistent,93.994,-36.4,5191.0,2
73,57,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,1,nonexistent,93.994,-36.4,5191.0,2
74,37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,214,1,nonexistent,93.994,-36.4,5191.0,2
75,41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,1,nonexistent,93.994,-36.4,5191.0,0
76,55,technician,married,university.degree,no,no,no,telephone,may,mon,349,1,nonexistent,93.994,-36.4,5191.0,1
77,33,services,married,high.school,unknown,yes,no,telephone,may,mon,337,2,nonexistent,93.994,-36.4,5191.0,1
78,55,management,married,unknown,unknown,yes,no,telephone,may,mon,272,1,nonexistent,93.994,-36.4,5191.0,2
79,42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,208,1,nonexistent,93.994,-36.4,5191.0,2
80,50,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,193,1,nonexistent,93.994,-36.4,5191.0,2
81,51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212,1,nonexistent,93.994,-36.4,5191.0,2
82,38,admin.,married,high.school,unknown,no,no,telephone,may,mon,165,2,nonexistent,93.994,-36.4,5191.0,2
83,49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1,nonexistent,93.994,-36.4,5191.0,0
84,38,technician,single,university.degree,no,no,yes,telephone,may,mon,20,1,nonexistent,93.994,-36.4,5191.0,2
85,31,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,1,nonexistent,93.994,-36.4,5191.0,2
86,41,management,married,basic.6y,no,no,no,telephone,may,mon,529,2,nonexistent,93.994,-36.4,5191.0,1
87,39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192,1,nonexistent,93.994,-36.4,5191.0,2
88,49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,nonexistent,93.994,-36.4,5191.0,0
89,34,admin.,married,high.school,no,yes,no,telephone,may,mon,188,2,nonexistent,93.994,-36.4,5191.0,2
90,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,180,2,nonexistent,93.994,-36.4,5191.0,2
91,57,unknown,married,unknown,unknown,yes,no,telephone,may,mon,48,1,nonexistent,93.994,-36.4,5191.0,2
92,60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,2,nonexistent,93.994,-36.4,5191.0,2
93,33,unemployed,married,basic.9y,no,no,no,telephone,may,mon,545,1,nonexistent,93.994,-36.4,5191.0,1
94,42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583,1,nonexistent,93.994,-36.4,5191.0,1
95,45,services,married,professional.course,no,yes,no,telephone,may,mon,221,1,nonexistent,93.994,-36.4,5191.0,2
96,42,management,married,university.degree,no,no,no,telephone,may,mon,426,1,nonexistent,93.994,-36.4,5191.0,1
97,53,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,287,1,nonexistent,93.994,-36.4,5191.0,2
98,37,technician,single,professional.course,no,no,no,telephone,may,mon,197,1,nonexistent,93.994,-36.4,5191.0,2
99,44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257,1,nonexistent,93.994,-36.4,5191.0,2
100,54,services,married,unknown,no,yes,no,telephone,may,mon,229,1,nonexistent,93.994,-36.4,5191.0,2
101,49,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,55,3,nonexistent,93.994,-36.4,5191.0,2
102,54,services,married,unknown,no,no,no,telephone,may,mon,400,1,nonexistent,93.994,-36.4,5191.0,1
103,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197,1,nonexistent,93.994,-36.4,5191.0,2
104,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190,1,nonexistent,93.994,-36.4,5191.0,2
105,43,services,single,high.school,unknown,no,no,telephone,may,mon,21,1,nonexistent,93.994,-36.4,5191.0,2
106,34,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300,2,nonexistent,93.994,-36.4,5191.0,1
107,35,admin.,married,high.school,no,yes,no,telephone,may,mon,123,2,nonexistent,93.994,-36.4,5191.0,2
108,42,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,293,1,nonexistent,93.994,-36.4,5191.0,1
109,43,technician,married,unknown,unknown,yes,yes,telephone,may,mon,325,1,nonexistent,93.994,-36.4,5191.0,1
110,60,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,514,1,nonexistent,93.994,-36.4,5191.0,1
111,58,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,849,2,nonexistent,93.994,-36.4,5191.0,0
112,35,services,divorced,high.school,no,yes,no,telephone,may,mon,194,1,nonexistent,93.994,-36.4,5191.0,2
113,55,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,212,2,nonexistent,93.994,-36.4,5191.0,2
114,37,management,married,university.degree,no,no,no,telephone,may,mon,337,2,nonexistent,93.994,-36.4,5191.0,1
115,36,blue-collar,married,high.school,no,no,no,telephone,may,mon,286,1,nonexistent,93.994,-36.4,5191.0,2
116,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247,2,nonexistent,93.994,-36.4,5191.0,2
117,57,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,518,1,nonexistent,93.994,-36.4,5191.0,1
118,56,admin.,married,unknown,no,yes,no,telephone,may,mon,364,1,nonexistent,93.994,-36.4,5191.0,1
119,48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,178,1,nonexistent,93.994,-36.4,5191.0,2
120,40,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,98,1,nonexistent,93.994,-36.4,5191.0,2
121,49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439,1,nonexistent,93.994,-36.4,5191.0,1
122,41,services,married,high.school,no,no,no,telephone,may,mon,139,1,nonexistent,93.994,-36.4,5191.0,2
123,45,technician,married,high.school,no,yes,no,telephone,may,mon,79,1,nonexistent,93.994,-36.4,5191.0,2
124,32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175,1,nonexistent,93.994,-36.4,5191.0,2
125,42,admin.,married,university.degree,no,no,yes,telephone,may,mon,262,2,nonexistent,93.994,-36.4,5191.0,2
126,50,admin.,married,basic.6y,no,no,no,telephone,may,mon,61,1,nonexistent,93.994,-36.4,5191.0,2
127,31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78,1,nonexistent,93.994,-36.4,5191.0,2
128,56,retired,married,basic.4y,no,yes,no,telephone,may,mon,102,2,nonexistent,93.994,-36.4,5191.0,2
129,41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579,1,nonexistent,93.994,-36.4,5191.0,1
130,37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143,1,nonexistent,93.994,-36.4,5191.0,2
131,41,technician,married,professional.course,unknown,no,no,telephone,may,mon,677,1,nonexistent,93.994,-36.4,5191.0,1
132,35,blue-collar,married,unknown,no,yes,no,telephone,may,mon,267,1,nonexistent,93.994,-36.4,5191.0,2
133,37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,345,1,nonexistent,93.994,-36.4,5191.0,1
134,52,management,married,university.degree,no,no,no,telephone,may,mon,185,1,nonexistent,93.994,-36.4,5191.0,2
135,39,management,divorced,university.degree,no,no,no,telephone,may,mon,207,1,nonexistent,93.994,-36.4,5191.0,2
136,39,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,69,2,nonexistent,93.994,-36.4,5191.0,2
137,56,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,100,2,nonexistent,93.994,-36.4,5191.0,2
138,34,services,married,high.school,no,yes,no,telephone,may,mon,125,2,nonexistent,93.994,-36.4,5191.0,2
139,45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461,1,nonexistent,93.994,-36.4,5191.0,1
140,43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240,1,nonexistent,93.994,-36.4,5191.0,2
141,56,management,married,unknown,no,yes,no,telephone,may,mon,70,1,nonexistent,93.994,-36.4,5191.0,2
142,39,management,married,university.degree,no,yes,no,telephone,may,mon,193,1,nonexistent,93.994,-36.4,5191.0,2
143,53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,136,1,nonexistent,93.994,-36.4,5191.0,2
144,38,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,73,1,nonexistent,93.994,-36.4,5191.0,2
145,42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,528,1,nonexistent,93.994,-36.4,5191.0,1
146,42,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,541,1,nonexistent,93.994,-36.4,5191.0,1
147,35,admin.,single,high.school,no,yes,no,telephone,may,mon,338,1,nonexistent,93.994,-36.4,5191.0,1
148,40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,163,1,nonexistent,93.994,-36.4,5191.0,2
149,51,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,87,1,nonexistent,93.994,-36.4,5191.0,2
150,60,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,301,1,nonexistent,93.994,-36.4,5191.0,1
151,56,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,46,1,nonexistent,93.994,-36.4,5191.0,2
152,39,services,divorced,high.school,unknown,yes,no,telephone,may,mon,52,1,nonexistent,93.994,-36.4,5191.0,2
153,56,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,204,1,nonexistent,93.994,-36.4,5191.0,2
154,40,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,155,1,nonexistent,93.994,-36.4,5191.0,2
155,36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,98,1,nonexistent,93.994,-36.4,5191.0,2
156,51,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,71,1,nonexistent,93.994,-36.4,5191.0,2
157,51,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,243,1,nonexistent,93.994,-36.4,5191.0,2
158,43,technician,single,professional.course,no,yes,no,telephone,may,mon,186,2,nonexistent,93.994,-36.4,5191.0,2
159,59,services,married,high.school,no,no,no,telephone,may,mon,579,2,nonexistent,93.994,-36.4,5191.0,1
160,24,management,single,university.degree,no,yes,no,telephone,may,mon,165,2,nonexistent,93.994,-36.4,5191.0,2
161,37,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,163,2,nonexistent,93.994,-36.4,5191.0,2
162,40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46,1,nonexistent,93.994,-36.4,5191.0,2
163,42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,559,3,nonexistent,93.994,-36.4,5191.0,1
164,39,services,divorced,high.school,unknown,no,no,telephone,may,mon,2033,1,nonexistent,93.994,-36.4,5191.0,0
165,37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,85,1,nonexistent,93.994,-36.4,5191.0,2
166,38,services,married,high.school,no,yes,yes,telephone,may,mon,506,1,nonexistent,93.994,-36.4,5191.0,1
167,56,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,114,2,nonexistent,93.994,-36.4,5191.0,2
168,40,blue-collar,married,unknown,no,no,no,telephone,may,mon,114,2,nonexistent,93.994,-36.4,5191.0,2
169,54,management,divorced,university.degree,no,yes,no,telephone,may,mon,843,2,nonexistent,93.994,-36.4,5191.0,0
170,43,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,181,1,nonexistent,93.994,-36.4,5191.0,2
171,36,services,married,high.school,unknown,no,no,telephone,may,mon,427,1,nonexistent,93.994,-36.4,5191.0,1
172,45,technician,married,university.degree,no,yes,yes,telephone,may,mon,292,1,nonexistent,93.994,-36.4,5191.0,1
173,42,admin.,single,university.degree,unknown,no,no,telephone,may,mon,192,1,nonexistent,93.994,-36.4,5191.0,2
174,43,services,married,high.school,no,no,no,telephone,may,mon,93,3,nonexistent,93.994,-36.4,5191.0,2
175,46,management,married,basic.9y,no,no,no,telephone,may,mon,128,2,nonexistent,93.994,-36.4,5191.0,2
176,44,services,married,high.school,no,yes,yes,telephone,may,mon,107,1,nonexistent,93.994,-36.4,5191.0,2
177,51,admin.,single,basic.6y,no,no,no,telephone,may,mon,303,2,nonexistent,93.994,-36.4,5191.0,1
178,28,services,married,high.school,no,yes,no,telephone,may,mon,81,1,nonexistent,93.994,-36.4,5191.0,2
179,37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,1,nonexistent,93.994,-36.4,5191.0,2
180,34,technician,married,high.school,no,no,no,telephone,may,mon,228,1,nonexistent,93.994,-36.4,5191.0,2
181,46,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,240,1,nonexistent,93.994,-36.4,5191.0,2
182,42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,2,nonexistent,93.994,-36.4,5191.0,1
183,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,233,3,nonexistent,93.994,-36.4,5191.0,2
184,54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,1,nonexistent,93.994,-36.4,5191.0,2
185,57,management,married,university.degree,no,no,no,telephone,may,mon,461,1,nonexistent,93.994,-36.4,5191.0,1
186,51,technician,married,basic.6y,unknown,no,no,telephone,may,mon,250,1,nonexistent,93.994,-36.4,5191.0,2
187,54,retired,married,high.school,unknown,no,no,telephone,may,mon,130,1,nonexistent,93.994,-36.4,5191.0,2
188,49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,252,1,nonexistent,93.994,-36.4,5191.0,2
189,34,admin.,married,university.degree,no,yes,no,telephone,may,mon,138,1,nonexistent,93.994,-36.4,5191.0,2
190,41,technician,married,professional.course,no,no,no,telephone,may,mon,412,1,nonexistent,93.994,-36.4,5191.0,1
191,38,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,179,2,nonexistent,93.994,-36.4,5191.0,2
192,45,management,divorced,university.degree,no,no,no,telephone,may,mon,19,2,nonexistent,93.994,-36.4,5191.0,2
193,42,technician,married,university.degree,no,no,no,telephone,may,mon,228,2,nonexistent,93.994,-36.4,5191.0,2
194,34,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,55,1,nonexistent,93.994,-36.4,5191.0,2
195,48,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,717,1,nonexistent,93.994,-36.4,5191.0,1
196,37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,313,1,nonexistent,93.994,-36.4,5191.0,1
197,34,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,289,1,nonexistent,93.994,-36.4,5191.0,1
198,40,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,683,2,nonexistent,93.994,-36.4,5191.0,1
199,43,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1077,1,nonexistent,93.994,-36.4,5191.0,0
200,33,services,married,high.school,no,no,no,telephone,may,mon,146,2,nonexistent,93.994,-36.4,5191.0,2
201,32,services,single,basic.6y,no,no,no,telephone,may,mon,167,1,nonexistent,93.994,-36.4,5191.0,2
202,39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,356,2,nonexistent,93.994,-36.4,5191.0,1
203,43,admin.,married,unknown,no,no,no,telephone,may,mon,277,1,nonexistent,93.994,-36.4,5191.0,2
204,44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,172,1,nonexistent,93.994,-36.4,5191.0,2
205,35,student,single,university.degree,unknown,no,no,telephone,may,mon,218,1,nonexistent,93.994,-36.4,5191.0,2
206,35,student,single,university.degree,unknown,yes,yes,telephone,may,mon,217,1,nonexistent,93.994,-36.4,5191.0,2
207,35,unemployed,married,professional.course,no,no,no,telephone,may,mon,67,1,nonexistent,93.994,-36.4,5191.0,2
208,36,services,single,basic.4y,no,no,no,telephone,may,mon,291,1,nonexistent,93.994,-36.4,5191.0,1
209,35,student,single,university.degree,unknown,yes,no,telephone,may,mon,248,1,nonexistent,93.994,-36.4,5191.0,2
210,36,student,single,basic.9y,no,yes,no,telephone,may,mon,256,1,nonexistent,93.994,-36.4,5191.0,2
211,55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,286,1,nonexistent,93.994,-36.4,5191.0,2
212,59,admin.,married,university.degree,no,no,no,telephone,may,mon,477,1,nonexistent,93.994,-36.4,5191.0,1
213,57,retired,married,unknown,unknown,no,no,telephone,may,mon,611,2,nonexistent,93.994,-36.4,5191.0,1
214,39,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,471,1,nonexistent,93.994,-36.4,5191.0,1
215,39,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,381,2,nonexistent,93.994,-36.4,5191.0,1
216,30,blue-collar,single,unknown,no,yes,no,telephone,may,mon,251,1,nonexistent,93.994,-36.4,5191.0,2
217,30,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,408,1,nonexistent,93.994,-36.4,5191.0,1
218,50,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,287,1,nonexistent,93.994,-36.4,5191.0,2
219,40,services,married,high.school,no,no,no,telephone,may,mon,322,3,nonexistent,93.994,-36.4,5191.0,1
220,35,admin.,married,high.school,no,yes,no,telephone,may,mon,216,2,nonexistent,93.994,-36.4,5191.0,2
221,43,technician,married,unknown,unknown,no,no,telephone,may,mon,366,2,nonexistent,93.994,-36.4,5191.0,1
222,36,services,single,basic.6y,unknown,yes,no,telephone,may,mon,210,1,nonexistent,93.994,-36.4,5191.0,2
223,46,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,288,1,nonexistent,93.994,-36.4,5191.0,2
224,40,technician,married,basic.9y,no,no,no,telephone,may,mon,168,1,nonexistent,93.994,-36.4,5191.0,2
225,58,retired,married,university.degree,no,no,no,telephone,may,mon,132,1,nonexistent,93.994,-36.4,5191.0,2
226,42,technician,married,university.degree,no,no,no,telephone,may,mon,64,2,nonexistent,93.994,-36.4,5191.0,2
227,35,admin.,single,university.degree,no,no,no,telephone,may,mon,209,2,nonexistent,93.994,-36.4,5191.0,2
228,43,retired,married,basic.4y,unknown,no,no,telephone,may,mon,410,3,nonexistent,93.994,-36.4,5191.0,1
229,45,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,177,1,nonexistent,93.994,-36.4,5191.0,2
230,39,admin.,married,professional.course,no,yes,no,telephone,may,mon,580,2,nonexistent,93.994,-36.4,5191.0,1
231,50,services,divorced,professional.course,no,yes,no,telephone,may,mon,165,1,nonexistent,93.994,-36.4,5191.0,2
232,32,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,127,2,nonexistent,93.994,-36.4,5191.0,2
233,39,admin.,married,high.school,unknown,no,no,telephone,may,mon,357,1,nonexistent,93.994,-36.4,5191.0,1
234,52,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,175,1,nonexistent,93.994,-36.4,5191.0,2
235,44,admin.,married,professional.course,no,yes,no,telephone,may,mon,300,1,nonexistent,93.994,-36.4,5191.0,1
236,56,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,136,1,nonexistent,93.994,-36.4,5191.0,2
237,48,admin.,married,high.school,no,no,no,telephone,may,mon,125,2,nonexistent,93.994,-36.4,5191.0,2
238,33,services,married,high.school,unknown,no,yes,telephone,may,mon,189,2,nonexistent,93.994,-36.4,5191.0,2
